Human Marker Symbol	Human Entrez Gene ID	HomoloGene ID	Mouse Marker Symbol	MGI Marker Accession ID	High-level Mammalian Phenotype ID (space-delimited)
TPM4	7171	74286	Tpm4	  MGI:2449202	
TPMT	7172	313	Tpmt	  MGI:98812	  MP:0010768 MP:0005397 MP:0005378 MP:0005376
TPO	7173	461	Tpo	  MGI:98813	  MP:0005379 MP:0005378 MP:0005376 MP:0005382 MP:0005371 MP:0005377 MP:0010768 MP:0005397 MP:0005390 MP:0005387 MP:0005391
TPP1	1200	335	Tpp1	  MGI:1336194	  MP:0005369 MP:0005376 MP:0005384 MP:0010771 MP:0010768 MP:0003631 MP:0005386 MP:0005388
TPP2	7174	2471	Tpp2	  MGI:102724	  MP:0005397 MP:0010768 MP:0005387 MP:0005384 MP:0005379 MP:0005378 MP:0010771
TPPP	11076	21389	Tppp	  MGI:1920198	  MP:0005378 MP:0005376 MP:0005390 MP:0005386 MP:0005397 MP:0003631
TPPP2	122664	25079	Tppp2	  MGI:2684923	
TPPP3	51673	32659	Tppp3	  MGI:1915221	
TPR	7175	37753	Tpr	  MGI:1922066	  MP:0010768
TPRA1	131601	40799	Tpra1	  MGI:1345190	
TPRG1	285386	18415	Tprg	  MGI:1918588	
TPRG1L	127262	12192	Tprgl	  MGI:1915058	
TPRKB	51002	41096	Tprkb	  MGI:1917036	
TPRN	286262	52156	Tprn	  MGI:2139535	  MP:0005386 MP:0005377 MP:0003631
TPSAB1	7177	55729	Tpsb2	  MGI:96942	  MP:0005384 MP:0005397 MP:0005387 MP:0005390
TPSB2	64499	55729	Tpsb2	  MGI:96942	  MP:0005384 MP:0005397 MP:0005387 MP:0005390
TPSG1	25823	74994	Tpsg1	  MGI:1349391	
TPST1	8460	2667	Tpst1	  MGI:1298231	  MP:0005378 MP:0005389 MP:0005386
TPST2	8459	2666	Tpst2	  MGI:1309516	  MP:0005389 MP:0003631 MP:0005378 MP:0005379 MP:0005384 MP:0005376
TPT1	7178	55730	Tpt1	  MGI:104890	  MP:0010768 MP:0005380 MP:0005384 MP:0005378
TPTE2	93492	50411	Tpte	  MGI:2446460	
TPX2	22974	8107	Tpx2	  MGI:1919369	  MP:0003631 MP:0005381 MP:0005387 MP:0005388 MP:0005370 MP:0005380 MP:0002006 MP:0010768 MP:0005397 MP:0005384 MP:0005379
TRA2A	29896	40866	Tra2a	  MGI:1933972	  MP:0010768 MP:0005386 MP:0005378
TRA2B	6434	20965	Tra2b	  MGI:106016	  MP:0005378 MP:0005376 MP:0010768 MP:0005385 MP:0005380
TRABD	80305	36427	Trabd	  MGI:1915226	
TRABD2B	388630	85034	Trabd2b	  MGI:3650152	
TRADD	8717	2807	Tradd	  MGI:109200	  MP:0005376 MP:0005384 MP:0005387 MP:0005397
TRAF1	7185	4138	Traf1	  MGI:101836	  MP:0005384 MP:0005397 MP:0005387
TRAF2	7186	22520	Traf2	  MGI:101835	  MP:0005378 MP:0005379 MP:0005375 MP:0005369 MP:0005376 MP:0005384 MP:0005380 MP:0005397 MP:0005385 MP:0010768 MP:0005387
TRAF3	7187	7981	Traf3	  MGI:108041	  MP:0010768 MP:0005397 MP:0005370 MP:0005367 MP:0005387 MP:0005379 MP:0005378 MP:0005384 MP:0005376
TRAF3IP1	26146	22913	Traf3ip1	  MGI:1921269	  MP:0005376 MP:0005384 MP:0010768 MP:0005371 MP:0003631 MP:0005391 MP:0005380
TRAF3IP2	10758	15885	Traf3ip2	  MGI:2143599	  MP:0005376 MP:0005384 MP:0005382 MP:0005378 MP:0010771 MP:0005379 MP:0005388 MP:0005387 MP:0005367 MP:0005381 MP:0005391 MP:0005385 MP:0005397 MP:0005389 MP:0010768
TRAF3IP3	80342	11885	Traf3ip3	  MGI:2441706	  MP:0005379 MP:0005397 MP:0005387
TRAF4	9618	3173	Traf4	  MGI:1202880	  MP:0005371 MP:0003631 MP:0005390 MP:0005387 MP:0005388 MP:0005380 MP:0005378 MP:0010768 MP:0005389 MP:0005384
TRAF5	7188	27079	Traf5	  MGI:107548	  MP:0005384 MP:0005397 MP:0005387
TRAF6	7189	3395	Traf6	  MGI:108072	  MP:0005387 MP:0005367 MP:0005390 MP:0005371 MP:0003631 MP:0005377 MP:0005381 MP:0005391 MP:0010768 MP:0005389 MP:0005397 MP:0005385 MP:0001186 MP:0005380 MP:0005370 MP:0005384 MP:0005376 MP:0005369 MP:0005382 MP:0010771 MP:0005378 MP:0005379
TRAF7	84231	12998	Traf7	  MGI:3042141	
TRAFD1	10906	31399	Trafd1	  MGI:1923551	  MP:0005387 MP:0005375 MP:0005378 MP:0010768 MP:0005376
TRAIP	10293	31343	Traip	  MGI:1096377	  MP:0005384 MP:0005378 MP:0010768 MP:0005380
TRAK1	22906	25103	Trak1	  MGI:1914345	  MP:0010768 MP:0005386 MP:0003631 MP:0005369
TRAK2	66008	22861	Trak2	  MGI:1918077	
TRAM1	23471	8621	Tram1	  MGI:1919515	
TRAM1L1	133022	17142	Tram1l1	  MGI:2443503	
TRAM2	9697	8183	Tram2	  MGI:1924817	  MP:0005376 MP:0005378 MP:0005386 MP:0005390 MP:0005387 MP:0005377 MP:0005371 MP:0005397
TRANK1	9881	45845	Trank1	  MGI:1341834	
TRAP1	10131	9457	Trap1	  MGI:1915265	  MP:0005370 MP:0005397 MP:0002006 MP:0005376 MP:0005387 MP:0005378 MP:0005379 MP:0005384
TRAPPC1	58485	41425	Trappc1	  MGI:1098727	  MP:0010768
TRAPPC10	7109	37751	Trappc10	  MGI:1336209	  MP:0005379 MP:0005375 MP:0005378 MP:0005382 MP:0005369 MP:0005387 MP:0005386 MP:0005397 MP:0005385 MP:0005391 MP:0005371 MP:0003631 MP:0005381 MP:0005390
TRAPPC11	60684	11076	Trappc11	  MGI:2444585	
TRAPPC12	51112	34805	Trappc12	  MGI:2445089	
TRAPPC13	80006	11792	Trappc13	  MGI:1914225	
TRAPPC2	6399	5436	Trappc2	  MGI:1913476	  MP:0005389
TRAPPC2L	51693	9424	Trappc2l	  MGI:1916295	  MP:0005389 MP:0005390 MP:0003631
TRAPPC3	27095	6399	Trappc3	  MGI:1351486	
TRAPPC3L	100128327	82663	Trappc3l	  MGI:3642034	
TRAPPC4	51399	105453	Trappc4	  MGI:1926211	
TRAPPC5	126003	5754	Trappc5	  MGI:1913932	
TRAPPC6A	79090	69370	Trappc6a	  MGI:1914341	  MP:0010771 MP:0001186 MP:0005391
TRAPPC6B	122553	42466	Trappc6b	  MGI:1925482	
TRAPPC8	22878	40993	Trappc8	  MGI:2443008	
TRAPPC9	83696	81931	Trappc9	  MGI:1923760	  MP:0005378 MP:0005379 MP:0005369 MP:0003631 MP:0005371 MP:0005397 MP:0005385 MP:0005388 MP:0005370 MP:0005387 MP:0005390 MP:0005367
TRARG1	286753	65330	Trarg1	  MGI:3029307	  MP:0005386 MP:0005378 MP:0005375 MP:0005384 MP:0005376
TRAT1	50852	41130	Trat1	  MGI:1924897	  MP:0005378 MP:0005379 MP:0005397 MP:0005387
TRDMT1	1787	3249	Trdmt1	  MGI:1274787	  MP:0005387 MP:0005397
TRDN	10345	38137	Trdn	  MGI:1924007	  MP:0005369 MP:0005386
TREH	11181	5198	Treh	  MGI:1926230	  MP:0005376 MP:0005381
TREM1	54210	10243	Trem1	  MGI:1930005	  MP:0005397 MP:0002006 MP:0005376 MP:0005387
TREM2	54209	10352	Trem2	  MGI:1913150	  MP:0005387 MP:0003631 MP:0005385 MP:0005397 MP:0005384 MP:0005376
TREML1	340205	52257	Treml1	  MGI:1918576	  MP:0005387 MP:0005385 MP:0005397 MP:0010771 MP:0005376
TREML2	79865	81906	Treml2	  MGI:2147038	
TREML4	285852	NA	Treml4	  MGI:1923239	
TRERF1	55809	14129	Trerf1	  MGI:2442086	
TREX1	11277	7982	Trex1	  MGI:1328317	  MP:0005369 MP:0005376 MP:0005384 MP:0010768 MP:0010771 MP:0005379 MP:0005381 MP:0005391 MP:0005387 MP:0005367 MP:0005388 MP:0005370 MP:0005397 MP:0005385 MP:0005389
TREX2	11219	8046	Trex2	  MGI:1346343	  MP:0002006 MP:0010771 MP:0005384 MP:0005376
TRH	7200	5163	Trh	  MGI:98823	  MP:0005376 MP:0005379 MP:0005378 MP:0005385 MP:0003631 MP:0005381 MP:0005390 MP:0005367 MP:0005386
TRHDE	29953	75007	Trhde	  MGI:2384311	
TRHR	7201	20707	Trhr	  MGI:98824	  MP:0005386 MP:0005376 MP:0005378 MP:0005379
TRIAP1	51499	41131	Triap1	  MGI:1916326	
TRIB1	10221	75216	Trib1	  MGI:2443397	  MP:0005387 MP:0005391 MP:0010768 MP:0005397 MP:0005370 MP:0005380 MP:0005376 MP:0005375 MP:0010771 MP:0005378
TRIB2	28951	41445	Trib2	  MGI:2145021	  MP:0005378 MP:0005387 MP:0005386 MP:0005380 MP:0005397 MP:0005385 MP:0010768 MP:0005371
TRIB3	57761	10902	Trib3	  MGI:1345675	  MP:0005384 MP:0005379 MP:0005397 MP:0005387
TRIL	9865	69404	Tril	  MGI:1914123	
TRIM10	10107	4932	Trim10	  MGI:1338757	
TRIM11	81559	14225	Trim11	  MGI:2137355	
TRIM13	10206	4234	Trim13	  MGI:1913847	  MP:0005376 MP:0005387 MP:0010768
TRIM14	9830	13241	Trim14	  MGI:1921985	  MP:0005387
TRIM15	89870	23819	Trim15	  MGI:1916347	
TRIM16	10626	4726	Trim16	  MGI:2137356	  MP:0005386
TRIM17	51127	9387	Trim17	  MGI:1861440	  MP:0005376
TRIM2	23321	22882	Trim2	  MGI:1933163	  MP:0005386 MP:0005391 MP:0003631
TRIM21	6737	2365	Trim21	  MGI:106657	  MP:0010768 MP:0005397 MP:0005376 MP:0005387 MP:0005367 MP:0010771
TRIM23	373	1251	Trim23	  MGI:1933161	
TRIM24	8805	20830	Trim24	  MGI:109275	  MP:0005370 MP:0002006 MP:0005376 MP:0005384
TRIM25	7706	48325	Trim25	  MGI:102749	  MP:0005387 MP:0005397 MP:0010768 MP:0005389
TRIM26	7726	31159	Trim26	  MGI:1337056	
TRIM27	5987	111010	Trim27	  MGI:97904	  MP:0002006 MP:0005397 MP:0010768 MP:0005370 MP:0005387 MP:0005376 MP:0005384
TRIM28	10155	21175	Trim28	  MGI:109274	  MP:0005379 MP:0005378 MP:0005384 MP:0005380 MP:0005389 MP:0010768 MP:0005385 MP:0003631 MP:0005381
TRIM29	23650	8100	Trim29	  MGI:1919419	  MP:0005378 MP:0005375 MP:0005390 MP:0005371
TRIM3	10612	21290	Trim3	  MGI:1860040	  MP:0005386 MP:0003631
TRIM31	11074	17137	Trim31	  MGI:2385051	  MP:0005387 MP:0005381 MP:0005397 MP:0005376 MP:0005378
TRIM32	22954	36327	Trim32	  MGI:1917057	  MP:0005386 MP:0005389 MP:0003631 MP:0005376 MP:0005378 MP:0005369
TRIM33	51592	9296	Trim33	  MGI:2137357	  MP:0005378 MP:0005380 MP:0010768 MP:0003631
TRIM34	53840	128238	Trim34a	  MGI:2137359	
TRIM34	53840	128238	Trim34b	  MGI:4821264	
TRIM35	23087	134331	Trim35	  MGI:1914104	
TRIM36	55521	10275	Trim36	  MGI:106264	
TRIM37	4591	9084	Trim37	  MGI:2153072	  MP:0005370 MP:0005386 MP:0005389 MP:0010768 MP:0005397 MP:0005385 MP:0002006 MP:0003631 MP:0005387 MP:0005376 MP:0005390 MP:0005378 MP:0005379 MP:0005369 MP:0005382 MP:0005384
TRIM38	10475	48427	Trim38	  MGI:2684869	  MP:0005387 MP:0010768 MP:0005376
TRIM39	56658	10940	Trim39	  MGI:1890659	  MP:0005386 MP:0005390 MP:0010771 MP:0005376
TRIM40	135644	34709	Trim40	  MGI:2684881	
TRIM41	90933	14140	Trim41	  MGI:2384814	
TRIM42	287015	12712	Trim42	  MGI:1926161	
TRIM44	54765	9731	Trim44	  MGI:1931835	
TRIM45	80263	11865	Trim45	  MGI:1918187	  MP:0005376 MP:0003631 MP:0005391 MP:0005385 MP:0010768 MP:0005380 MP:0005387 MP:0005390
TRIM46	80128	11815	Trim46	  MGI:2673000	
TRIM47	91107	14128	Trim47	  MGI:1917374	
TRIM5	85363	75345	Trim5	  MGI:3646853	
TRIM50	135892	14548	Trim50	  MGI:2664992	  MP:0005379 MP:0005381
TRIM54	57159	10983	Trim54	  MGI:1889623	  MP:0010768 MP:0005385 MP:0005386 MP:0005384 MP:0005369
TRIM55	84675	13205	Trim55	  MGI:3036269	  MP:0005390 MP:0005385 MP:0005369 MP:0005376
TRIM56	81844	12812	Trim56	  MGI:2685298	  MP:0005397 MP:0005387
TRIM58	25893	9135	Trim58	  MGI:2684862	  MP:0005387 MP:0005381
TRIM59	286827	32644	Trim59	  MGI:1914199	  MP:0003631 MP:0005380 MP:0005378 MP:0005389 MP:0010768
TRIM6	117854	14381	Trim6	  MGI:2137352	  MP:0005376
TRIM60	166655	51876	Trim60	  MGI:2387430	
TRIM61	391712	NA	Trim61	  MGI:2387432	
TRIM62	55223	10071	Trim62	  MGI:1914775	  MP:0002006 MP:0005388 MP:0005370 MP:0005379 MP:0010771
TRIM63	84676	41878	Trim63	  MGI:2447992	  MP:0005385 MP:0005369
TRIM65	201292	27844	Trim65	  MGI:2442815	
TRIM66	9866	28044	Trim66	  MGI:2152406	  MP:0005378 MP:0005375 MP:0005386 MP:0005397
TRIM67	440730	45699	Trim67	  MGI:3045323	  MP:0005386 MP:0003631
TRIM68	55128	9991	Trim68	  MGI:2142077	
TRIM69	140691	18827	Trim69	  MGI:1918178	
TRIM7	81786	14113	Trim7	  MGI:2137353	
TRIM71	131405	9076	Trim71	  MGI:2685973	  MP:0010771 MP:0005378 MP:0005382 MP:0005388 MP:0005380 MP:0010768 MP:0005385 MP:0003631
TRIM72	493829	66924	Trim72	  MGI:3612190	  MP:0005369 MP:0005386
TRIM8	81603	12795	Trim8	  MGI:1933302	  MP:0005397 MP:0005387 MP:0005390 MP:0005376
TRIM80P	106480328	46325	Trim80	  MGI:3588186	
TRIM9	114088	9045	Trim9	  MGI:2137354	  MP:0003631 MP:0005384
TRIML1	339976	18619	Triml1	  MGI:2687279	
TRIML2	205860	18316	Triml2	  MGI:3642989	
TRIO	7204	20847	Trio	  MGI:1927230	  MP:0005369 MP:0005384 MP:0010768 MP:0005378 MP:0003631 MP:0005386
TRIOBP	11078	5104	Triobp	  MGI:1349410	  MP:0010768 MP:0003631 MP:0005377
TRIP10	9322	99728	Trip10	  MGI:2146901	  MP:0005375 MP:0005384 MP:0005387 MP:0005376 MP:0005397
TRIP11	9321	20897	Trip11	  MGI:1924393	  MP:0005378 MP:0005382 MP:0005384 MP:0005376 MP:0005386 MP:0005388 MP:0010768 MP:0005385 MP:0005371 MP:0003631 MP:0005390
TRIP12	9320	44226	Trip12	  MGI:1309481	  MP:0005384 MP:0005378 MP:0010768 MP:0005380
TRIP13	9319	3125	Trip13	  MGI:1916966	  MP:0005384 MP:0005376 MP:0005379 MP:0010768 MP:0005389 MP:0005378 MP:0005385 MP:0005371 MP:0005390 MP:0005386
TRIP4	9325	9426	Trip4	  MGI:1928469	
TRIP6	7205	37757	Trip6	  MGI:1343458	  MP:0003631 MP:0005387 MP:0005397
TRIQK	286144	90150	Triqk	  MGI:3650048	
TRIR	79002	11428	Trir	  MGI:1922833	
TRIT1	54802	7010	Trit1	  MGI:1914216	  MP:0005378 MP:0005385 MP:0010768 MP:0005386 MP:0005380
TRMO	51531	32316	Trmo	  MGI:1922003	  MP:0005376 MP:0005386
TRMT1	55621	5632	Trmt1	  MGI:1289155	  MP:0005378 MP:0005370 MP:0005367 MP:0005391 MP:0005385 MP:0010768
TRMT10A	93587	6886	Trmt10a	  MGI:1920421	  MP:0005378 MP:0005390 MP:0005376 MP:0005391
TRMT10B	158234	12340	Trmt10b	  MGI:1917184	
TRMT10C	54931	9858	Trmt10c	  MGI:1196261	
TRMT11	60487	6876	Trmt11	  MGI:1920931	
TRMT112	51504	41132	Trmt112	  MGI:1914924	
TRMT12	55039	32379	Trmt12	  MGI:1915510	
TRMT13	54482	6875	Trmt13	  MGI:1925219	
TRMT1L	81627	12801	Trmt1l	  MGI:1916185	  MP:0005386
TRMT2A	27037	7374	Trmt2a	  MGI:96270	  MP:0005378 MP:0005376
TRMT2B	79979	11782	Trmt2b	  MGI:2442530	
TRMT44	152992	12708	Trmt44	  MGI:1926140	
TRMT5	57570	6096	Trmt5	  MGI:1923607	
TRMT6	51605	6816	Trmt6	  MGI:1914176	
TRMT61A	115708	6229	Trmt61a	  MGI:2443487	
TRMT9B	57604	35306	Trmt9b	  MGI:2442328	
TRMU	55687	5589	Trmu	  MGI:1919276	  MP:0005384 MP:0005376 MP:0010768 MP:0005385 MP:0005370 MP:0005387
TRNA	4553	NA	mt-Ta	  MGI:102491	
TRNAU1AP	54952	49509	Trnau1ap	  MGI:1919037	  MP:0005386 MP:0010768
TRNC	4511	NA	mt-Tc	  MGI:102490	
TRND	4555	NA	mt-Td	  MGI:102489	
TRNE	4556	NA	mt-Te	  MGI:102488	
TRNF	4558	NA	mt-Tf	  MGI:102487	
TRNG	4563	NA	mt-Tg	  MGI:102486	
TRNH	4564	NA	mt-Th	  MGI:102485	
TRNI	4565	NA	mt-Ti	  MGI:102484	
TRNK	4566	NA	mt-Tk	  MGI:102483	  MP:0005384 MP:0005369 MP:0005378 MP:0005389
TRNL1	4567	NA	mt-Tl1	  MGI:102482	
TRNL2	4568	NA	mt-Tl2	  MGI:102481	
TRNM	4569	NA	mt-Tm	  MGI:102480	
TRNN	4570	NA	mt-Tn	  MGI:102479	
TRNP	4571	NA	mt-Tp	  MGI:102478	
TRNP1	388610	19492	Trnp1	  MGI:1916789	
TRNQ	4572	NA	mt-Tq	  MGI:102477	
TRNR	4573	NA	mt-Tr	  MGI:102476	
TRNS1	4574	NA	mt-Ts1	  MGI:102475	
TRNS2	4575	NA	mt-Ts2	  MGI:102474	
TRNT	4576	NA	mt-Tt	  MGI:102473	
TRNT1	51095	9333	Trnt1	  MGI:1917297	  MP:0005378 MP:0005376 MP:0005397
TRNV	4577	NA	mt-Tv	  MGI:102472	
TRNW	4578	NA	mt-Tw	  MGI:102471	
TRNY	4579	NA	mt-Ty	  MGI:102470	
TRO	7216	75113	Tro	  MGI:1928994	  MP:0010768
TROAP	10024	28697	Troap	  MGI:1925983	
TRPA1	8989	7189	Trpa1	  MGI:3522699	  MP:0003631 MP:0005377 MP:0005387 MP:0005388 MP:0005386 MP:0005394 MP:0005376 MP:0010771
TRPC1	7220	2478	Trpc1	  MGI:109528	  MP:0003631 MP:0005381 MP:0005376 MP:0005379 MP:0005378
TRPC2	7221	135989	Trpc2	  MGI:109527	  MP:0005378 MP:0005376 MP:0005382 MP:0003631 MP:0005397 MP:0005386 MP:0005388
TRPC3	7222	20708	Trpc3	  MGI:109526	  MP:0005378 MP:0005386 MP:0010768 MP:0005391 MP:0003631
TRPC4	7223	22955	Trpc4	  MGI:109525	  MP:0005369 MP:0005385 MP:0005386 MP:0003631
TRPC4AP	26133	9224	Trpc4ap	  MGI:1930751	  MP:0010771
TRPC5	7224	74915	Trpc5	  MGI:109524	  MP:0005386 MP:0003631 MP:0005376 MP:0005384
TRPC5OS	100329135	130380	Trpc5os	  MGI:3641805	
TRPC6	7225	37944	Trpc6	  MGI:109523	  MP:0005367 MP:0005391 MP:0005385 MP:0005386 MP:0005376 MP:0005369 MP:0010771
TRPC7	57113	22689	Trpc7	  MGI:1349470	  MP:0005391
TRPM1	4308	19940	Trpm1	  MGI:1330305	  MP:0005386 MP:0005391 MP:0003631
TRPM2	7226	20709	Trpm2	  MGI:1351901	  MP:0005384 MP:0005376 MP:0005369 MP:0005386 MP:0005370 MP:0005387 MP:0003631 MP:0010768 MP:0005385 MP:0005397
TRPM3	80036	62287	Trpm3	  MGI:2443101	  MP:0010771 MP:0005386 MP:0003631
TRPM4	54795	23033	Trpm4	  MGI:1915917	  MP:0005397 MP:0005385 MP:0005387 MP:0005376
TRPM5	29850	22818	Trpm5	  MGI:1861718	  MP:0005394
TRPM6	140803	9767	Trpm6	  MGI:2675603	  MP:0005380 MP:0005397 MP:0005389 MP:0010768 MP:0003631 MP:0005371 MP:0005390 MP:0005376 MP:0005378 MP:0005382
TRPM7	54822	9774	Trpm7	  MGI:1929996	  MP:0005376 MP:0005384 MP:0005378 MP:0010768 MP:0010771 MP:0001186 MP:0005379 MP:0005381 MP:0003631 MP:0005387 MP:0005367 MP:0005380 MP:0005386 MP:0005397
TRPM8	79054	23433	Trpm8	  MGI:2181435	  MP:0005386 MP:0003631 MP:0010771
TRPS1	7227	8556	Trps1	  MGI:1927616	  MP:0010768 MP:0005386 MP:0005388 MP:0005390 MP:0005367 MP:0005381 MP:0005382 MP:0005378 MP:0010771 MP:0005376
TRPT1	83707	12878	Trpt1	  MGI:1333115	
TRPV1	7442	12920	Trpv1	  MGI:1341787	  MP:0005384 MP:0005376 MP:0010771 MP:0005378 MP:0005375 MP:0005394 MP:0005370 MP:0005386 MP:0005387 MP:0005367 MP:0003631 MP:0005385 MP:0002006
TRPV2	51393	7993	Trpv2	  MGI:1341836	  MP:0005387 MP:0010768 MP:0005397 MP:0005378 MP:0005384
TRPV3	162514	17040	Trpv3	  MGI:2181407	  MP:0010771 MP:0005387 MP:0005386
TRPV4	59341	11003	Trpv4	  MGI:1926945	  MP:0005377 MP:0003631 MP:0005371 MP:0005391 MP:0005367 MP:0005390 MP:0005388 MP:0005386 MP:0005385 MP:0010768 MP:0010771 MP:0005369 MP:0005382 MP:0005376 MP:0005378
TRPV5	56302	10520	Trpv5	  MGI:2429764	  MP:0005381 MP:0005390 MP:0005367 MP:0005387 MP:0005386 MP:0005397 MP:0005378 MP:0005384 MP:0005376
TRPV6	55503	56812	Trpv6	  MGI:1927259	  MP:0005384 MP:0005389
TRRAP	8295	39246	Trrap	  MGI:2153272	  MP:0005391 MP:0005380 MP:0010768 MP:0005397 MP:0005376
TRUB1	142940	34714	Trub1	  MGI:1919383	  MP:0005376 MP:0005397
TRUB2	26995	41056	Trub2	  MGI:2442186	  MP:0005380 MP:0010768
TSACC	128229	16953	Tsacc	  MGI:1924177	
TSBP1	10665	128168	BC051142	  MGI:3039565	
TSC1	7248	314	Tsc1	  MGI:1929183	  MP:0005376 MP:0005384 MP:0005369 MP:0005379 MP:0005378 MP:0010771 MP:0005370 MP:0005386 MP:0005380 MP:0005390 MP:0005367 MP:0005391 MP:0003631 MP:0001186 MP:0002006 MP:0005385 MP:0005389 MP:0010768 MP:0005388
TSC2	7249	462	Tsc2	  MGI:102548	  MP:0005369 MP:0005376 MP:0005384 MP:0005379 MP:0002006 MP:0005397 MP:0005385 MP:0005378 MP:0005389 MP:0010771 MP:0010768 MP:0003631 MP:0005367 MP:0005370 MP:0005388 MP:0005386 MP:0005380
TSC22D1	8848	7573	Tsc22d1	  MGI:109127	  MP:0005397 MP:0005385 MP:0005367
TSC22D2	9819	8860	Tsc22d2	  MGI:1919283	
TSC22D3	1831	104035	Tsc22d3	  MGI:1196284	  MP:0005370 MP:0005389 MP:0005397 MP:0005384 MP:0005376 MP:0005387 MP:0005375 MP:0005379 MP:0005378
TSC22D4	81628	11390	Tsc22d4	  MGI:1926079	
TSEN15	116461	12002	Tsen15	  MGI:1913887	
TSEN2	80746	41622	Tsen2	  MGI:2141599	
TSEN34	79042	44182	Tsen34	  MGI:1913328	
TSEN54	283989	35476	Tsen54	  MGI:1923515	
TSFM	10102	4184	Tsfm	  MGI:1913649	  MP:0010768
TSG101	7251	4584	Tsg101	  MGI:106581	  MP:0005376 MP:0005384 MP:0005379 MP:0005378 MP:0010771 MP:0005386 MP:0005380 MP:0005367 MP:0002006 MP:0010768
TSGA10	80705	23531	Tsga10	  MGI:2685063	
TSGA10IP	254187	17663	Tsga10ip	  MGI:1925556	
TSGA13	114960	76446	Tsga13	  MGI:1891413	  MP:0005375 MP:0005378
TSHB	7252	463	Tshb	  MGI:98848	  MP:0005378 MP:0005389
TSHR	7253	315	Tshr	  MGI:98849	  MP:0005387 MP:0005390 MP:0003631 MP:0005377 MP:0005371 MP:0005391 MP:0005389 MP:0010768 MP:0005397 MP:0005386 MP:0005384 MP:0005376 MP:0005378 MP:0005379
TSHZ1	10194	4227	Tshz1	  MGI:1346031	  MP:0010768 MP:0005386 MP:0005388 MP:0005390 MP:0003631 MP:0005377 MP:0005381 MP:0005382 MP:0005378
TSHZ2	128553	35258	Tshz2	  MGI:2153084	  MP:0010768 MP:0005380
TSHZ3	57616	10835	Tshz3	  MGI:2442819	  MP:0010771 MP:0005369 MP:0010768 MP:0005386 MP:0005388 MP:0005367
TSIX	9383	NA	Tsix	  MGI:1336196	  MP:0005380 MP:0005389 MP:0010768 MP:0005381 MP:0005384
TSKS	60385	7984	Tsks	  MGI:1347560	  MP:0005389
TSKU	25987	41045	Tsku	  MGI:2443855	  MP:0003631
TSLP	85480	81957	Tslp	  MGI:1855696	  MP:0005367 MP:0005387 MP:0005391 MP:0005377 MP:0005381 MP:0010768 MP:0005397 MP:0005385 MP:0005388 MP:0005370 MP:0005384 MP:0005376 MP:0005382 MP:0010771 MP:0005378
TSN	7247	3397	Tsn	  MGI:109263	  MP:0005397 MP:0005389 MP:0005386 MP:0005375 MP:0005379 MP:0005378 MP:0005376 MP:0005384
TSNAX	7257	4374	Tsnax	  MGI:1855672	
TSNAXIP1	55815	10194	Tsnaxip1	  MGI:1919486	
TSPAN1	10103	21170	Tspan1	  MGI:1914055	
TSPAN10	83882	49972	Tspan10	  MGI:2384781	
TSPAN11	441631	23595	Tspan11	  MGI:1915748	
TSPAN12	23554	8212	Tspan12	  MGI:1889818	  MP:0005385 MP:0005391 MP:0005377
TSPAN13	27075	8671	Tspan13	  MGI:1913359	
TSPAN14	81619	23717	Tspan14	  MGI:1196325	  MP:0010768
TSPAN15	23555	22716	Tspan15	  MGI:1917673	
TSPAN17	26262	41762	Tspan17	  MGI:1921507	
TSPAN18	90139	24122	Tspan18	  MGI:1917186	
TSPAN2	10100	21169	Tspan2	  MGI:1917997	  MP:0003631 MP:0005387 MP:0005397
TSPAN3	10099	21168	Tspan3	  MGI:1928098	  MP:0005397 MP:0002006
TSPAN31	6302	4359	Tspan31	  MGI:1914375	
TSPAN32	10077	10650	Tspan32	  MGI:1350360	  MP:0005384 MP:0005397 MP:0005387
TSPAN33	340348	8213	Tspan33	  MGI:1919012	  MP:0005370 MP:0005387 MP:0005397 MP:0002006
TSPAN4	7106	2453	Tspan4	  MGI:1928097	
TSPAN5	10098	4182	Tspan5	  MGI:1928096	
TSPAN6	7105	20700	Tspan6	  MGI:1926264	
TSPAN7	7102	20967	Tspan7	  MGI:1298407	  MP:0005386 MP:0003631
TSPAN8	7103	20968	Tspan8	  MGI:2384918	
TSPAN9	10867	4860	Tspan9	  MGI:1924558	  MP:0005378
TSPEAR	54084	36972	Tspear	  MGI:2671932	
TSPO	706	574	Tspo	  MGI:88222	  MP:0005384 MP:0005387 MP:0005397
TSPO2	222642	12344	Tspo2	  MGI:1917276	
TSPOAP1	9256	37961	Tspoap1	  MGI:2450877	
TSPYL1	7259	22522	Tspyl1	  MGI:1298395	
TSPYL2	64061	11140	Tspyl2	  MGI:106244	  MP:0005384 MP:0005386
TSPYL4	23270	15872	Tspyl4	  MGI:106393	
TSPYL5	85453	14134	Tspyl5	  MGI:2442458	
TSR1	55720	5576	Tsr1	  MGI:2144566	
TSR2	90121	43235	Tsr2	  MGI:1916749	
TSR3	115939	6922	Tsr3	  MGI:1915577	
TSSC4	10078	4169	Tssc4	  MGI:1861712	
TSSK1A	23752	56448	Tssk1	  MGI:1347557	
TSSK2	23617	31512	Tssk2	  MGI:1347559	
TSSK3	81629	62163	Tssk3	  MGI:1929914	
